Front;Back
"<img src=""https://static.inaturalist.org/photos/40325819/medium.jpg""><br>What is the scientific name of this plant?";Rumex crispus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/79451981/medium.jpeg""><br>What is the genus of this plant?";Salix spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/80879815/medium.jpg""><br>What is the scientific name of this plant?";Salsola tragus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/44292418/medium.jpg""><br>What is the scientific name of this plant?";Saltugilia splendens
"<img src=""https://static.inaturalist.org/photos/557242/medium.jpg""><br>What is the scientific name of this plant?";Salvia apiana
"<img src=""https://static.inaturalist.org/photos/177009/medium.jpg""><br>What is the scientific name of this plant?";Salvia columbariae
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/31346/medium.jpg""><br>What is the scientific name of this plant?";Salvia leucophylla
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3188238/medium.JPG""><br>What is the scientific name of this plant?";Salvia mellifera
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/118005635/medium.jpeg""><br>What is the scientific name of this plant?";Salvia sonomensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/46738687/medium.jpg""><br>What is the genus of this plant?";Sambucus nigra ssp. caerulea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12475/medium.jpg""><br>What is the scientific name of this plant?";Sambucus racemosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6410508/medium.jpg""><br>What is the scientific name of this plant?";Sanicula arguta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11613/medium.jpg""><br>What is the scientific name of this plant?";Sanicula bipinnatifida
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/112285589/medium.jpeg""><br>What is the scientific name of this plant?";Sanicula crassicaulis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/121015946/medium.jpg""><br>What is the scientific name of this plant?";Schinus molle
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/57240422/medium.jpg""><br>What is the scientific name of this plant?";Schinus terebinthifolius
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/21098704/medium.jpg""><br>What is the scientific name of this plant?";Schoenoplectus americanus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/43575323/medium.jpeg""><br>What is the scientific name of this plant?";Scrophularia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/285028783/medium.jpg""><br>What is the scientific name of this plant?";Sedum spathulifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1805782/medium.jpg""><br>What is the scientific name of this plant?";Senecio aronicoides
"<img src=""https://static.inaturalist.org/photos/179599/medium.jpg""><br>What is the genus of this plant?";Senecio flaccidus var. douglasii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/48129210/medium.jpg""><br>What is the scientific name of this plant?";Senecio triangularis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/67415508/medium.jpg""><br>What is the scientific name of this plant?";Senecio vulgaris *
"<img src=""https://static.inaturalist.org/photos/75134640/medium.jpg""><br>What is the scientific name of this plant?";Senegalia greggii
"<img src=""https://static.inaturalist.org/photos/119771254/medium.jpg""><br>What is the scientific name of this plant?";Sequoiadendron giganteum
"<img src=""https://static.inaturalist.org/photos/61295436/medium.jpeg""><br>What is the scientific name of this plant?";Sequoia sempervirens
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7333/medium.jpg""><br>What is the genus of this plant?";Sidalcea spp.
"<img src=""https://static.inaturalist.org/photos/25136155/medium.jpeg""><br>What is the scientific name of this plant?";Silene gallica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/17675043/medium.jpg""><br>What is the scientific name of this plant?";Silene laciniata
"<img src=""https://static.inaturalist.org/photos/6078409/medium.jpeg""><br>What is the scientific name of this plant?";Silybum marianum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/114782801/medium.jpg""><br>What is the scientific name of this plant?";Sisymbrium orientale
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3188172/medium.JPG""><br>What is the scientific name of this plant?";Sisyrinchium bellum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/243074186/medium.jpg""><br>What is the scientific name of this plant?";Solanum douglasii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/244620628/medium.jpg""><br>What is the scientific name of this plant?";Solanum elaeagnifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/39223/medium.jpg""><br>What is the scientific name of this plant?";Solanum xanti
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62731283/medium.jpeg""><br>What is the scientific name of this plant?";Sonchus asper
"<img src=""https://static.inaturalist.org/photos/28460419/medium.jpeg""><br>What is the scientific name of this plant?";Sonchus oleraceus
"<img src=""https://static.inaturalist.org/photos/79942240/medium.jpeg""><br>What is the scientific name of this plant?";Spartium junceum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/45199648/medium.jpeg""><br>What is the genus of this plant?";Stachys spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7036454/medium.jpeg""><br>What is the scientific name of this plant?";Stanleya pinnata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11679/medium.jpg""><br>What is the scientific name of this plant?";Stephanomeria virgata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/50397/medium.jpg""><br>What is the scientific name of this plant?";Stipa hymenoides
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/68985268/medium.jpg""><br>What is the scientific name of this plant?";Stipa miliacea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3610426/medium.jpg""><br>What is the scientific name of this plant?";Stipa pulchra
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/84381975/medium.jpeg""><br>What is the scientific name of this plant?";Streptanthus tortuosus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/29025118/medium.jpeg""><br>What is the scientific name of this plant?";Suaeda nigra
"<img src=""https://static.inaturalist.org/photos/5791562/medium.jpg""><br>What is the scientific name of this plant?";Suaeda taxifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/31521/medium.jpg""><br>What is the genus of this plant?";Tamarix spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/15407/medium.jpg""><br>What is the genus of this plant?";Tauschia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/99338130/medium.jpeg""><br>What is the scientific name of this plant?";Taxus brevifolia
"<img src=""https://static.inaturalist.org/photos/1757247/medium.JPG""><br>What is the scientific name of this plant?";Thermopsis californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13050/medium.jpg""><br>What is the genus of this plant?";Thysanocarpus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11617/medium.jpg""><br>What is the scientific name of this plant?";Torilis arvensis
"<img src=""https://static.inaturalist.org/photos/14897857/medium.jpeg""><br>What is the scientific name of this plant?";Toxicodendron diversilobum
"<img src=""https://static.inaturalist.org/photos/82264/medium.jpg""><br>What is the scientific name of this plant?";Toxicoscordion fremontii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/28251532/medium.jpg""><br>What is the scientific name of this plant?";Tribulus terrestris
"<img src=""https://static.inaturalist.org/photos/18128933/medium.jpg""><br>What is the scientific name of this plant?";Trichostema lanatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/45800482/medium.jpg""><br>What is the genus of this plant?";Trifolium spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2809/medium.jpg""><br>What is the scientific name of this plant?";Triphysaria eriantha
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11771/medium.jpg""><br>What is the scientific name of this plant?";Triteleia hyacinthina
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/60796/medium.jpg""><br>What is the scientific name of this plant?";Triteleia laxa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/104023449/medium.jpg""><br>What is the scientific name of this plant?";Tsuga mertensiana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/54589881/medium.jpg""><br>What is the genus of this plant?";Typha spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3066372/medium.jpg""><br>What is the scientific name of this plant?";Umbellularia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7015916/medium.jpeg""><br>What is the scientific name of this plant?";Uropappus lindleyi
"<img src=""https://static.inaturalist.org/photos/9442513/medium.jpg""><br>What is the genus of this plant?";Urtica dioica ssp. holosericea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/4845/medium.jpg""><br>What is the scientific name of this plant?";Vaccinium ovatum
"<img src=""https://static.inaturalist.org/photos/4855055/medium.jpg""><br>What is the scientific name of this plant?";Vaccinium parvifolium
"<img src=""https://static.inaturalist.org/photos/96971645/medium.jpg""><br>What is the scientific name of this plant?";Veratrum californicum
"<img src=""https://static.inaturalist.org/photos/44885369/medium.jpg""><br>What is the scientific name of this plant?";Verbascum thapsus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5355/medium.jpg""><br>What is the scientific name of this plant?";Verbena lasiostachys
"<img src=""https://static.inaturalist.org/photos/32382660/medium.jpg""><br>What is the scientific name of this plant?";Veronica anagallis-aquatica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3264765/medium.JPG""><br>What is the genus of this plant?";Veronica peregrina ssp. xalapensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/235019995/medium.jpeg""><br>What is the scientific name of this plant?";Vicia sativa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14802341/medium.jpg""><br>What is the scientific name of this plant?";Vicia villosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/117416253/medium.jpg""><br>What is the scientific name of this plant?";Viola purpurea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/60322652/medium.jpg""><br>What is the scientific name of this plant?";Vitis californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/41600338/medium.jpeg""><br>What is the genus of this plant?";Festuca spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/249270666/medium.jpeg""><br>What is the scientific name of this plant?";Washingtonia robusta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/30798531/medium.jpg""><br>What is the scientific name of this plant?";Woodwardia fimbriata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13836/medium.jpg""><br>What is the genus of this plant?";Wyethia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12627/medium.jpg""><br>What is the genus of this plant?";Xanthium spp.
"<img src=""https://static.inaturalist.org/photos/262955271/medium.jpg""><br>What is the scientific name of this plant?";Yucca brevifolia
